device,attack,intensity,average rtt,loss
Smartphone 1,syn_flood,3000,5.154366667,0
Smartphone 1,syn_flood,3500,5.547033333,0
Smartphone 1,syn_flood,4000,5.2402,0
Smartphone 1,syn_flood,4500,5.894233333,0
Smartphone 1,syn_flood,5000,6.526833333,0
Smartphone 1,syn_flood,5500,9.026566667,0
Smartphone 1,syn_flood,6000,8.516333333,0
Smartphone 1,syn_flood,6500,12.42173333,0
Smartphone 1,syn_flood,7000,15.57046667,0.003333333333
Smartphone 1,syn_flood,7500,25.01436667,0
Smartphone 1,syn_flood,8000,36.08043333,0
Smartphone 1,syn_flood,8500,45.46006689,0.01672240803
Smartphone 1,syn_flood,9000,69.61892977,0.1070234114
Smartphone 1,syn_flood,9500,85.86443333,0.4466666667
Smartphone 1,syn_flood,10000,92.28036667,0.6633333333
Smartphone 1,syn_flood,10500,99.6171,0.9933333333
Smart Clock 1,udp_flood,3000,2.848327759,0
Smart Clock 1,udp_flood,3500,2.477023411,0
Smart Clock 1,udp_flood,4000,2.565083612,0
Smart Clock 1,udp_flood,4500,7.591070234,0.04682274247
Smart Clock 1,udp_flood,5000,2.833766667,0
Smart Clock 1,udp_flood,5500,3.051003344,0
Smart Clock 1,udp_flood,6000,30.77140468,0.1739130435
Smart Clock 1,udp_flood,6500,94.817,0.9033333333
Smart Clock 1,udp_flood,7000,98.43296667,0.97
Smart Clock 1,udp_flood,7500,98.81056667,0.98
Smart Clock 1,ack_flood,3000,26.01026756,0
Smart Clock 1,ack_flood,3500,98.7387291,0.9765886288
Smart Clock 1,ack_flood,4000,99.44326667,0.99
Smart Clock 1,syn_flood,3000,19.39416667,0
Smart Clock 1,syn_flood,3500,98.92863333,0.98
Google Nest Mini 1,udp_flood,3000,2.028233333,0
Google Nest Mini 1,udp_flood,3500,2.181333333,0
Google Nest Mini 1,udp_flood,4000,2.5429,0
Google Nest Mini 1,udp_flood,4500,2.307833333,0
Google Nest Mini 1,udp_flood,5000,2.5204,0
Google Nest Mini 1,udp_flood,5500,2.461,0
Google Nest Mini 1,udp_flood,6000,2.656655518,0
Google Nest Mini 1,udp_flood,6500,3.246755853,0
Google Nest Mini 1,udp_flood,7000,3.033545151,0
Google Nest Mini 1,udp_flood,7500,3.224548495,0
Google Nest Mini 1,udp_flood,8000,3.412909699,0
Google Nest Mini 1,udp_flood,8500,3.363210702,0
Google Nest Mini 1,udp_flood,9000,3.437625418,0
Google Nest Mini 1,udp_flood,9500,3.122976589,0
Google Nest Mini 1,udp_flood,10000,3.136421405,0
Google Nest Mini 1,udp_flood,10500,1.975050167,0
Google Nest Mini 1,udp_flood,11000,3.641538462,0
Google Nest Mini 1,udp_flood,11500,3.65083612,0
Google Nest Mini 1,udp_flood,12000,2.144180602,0
Google Nest Mini 1,udp_flood,12500,5.227966667,0.006666666667
Google Nest Mini 1,udp_flood,13000,5.186433333,0
Google Nest Mini 1,udp_flood,13500,5.639233333,0
Google Nest Mini 1,udp_flood,14000,7.495733333,0
Google Nest Mini 1,udp_flood,14500,8.055166667,0
Google Nest Mini 1,udp_flood,15000,9.0578,0
Google Nest Mini 1,udp_flood,15500,16.8445,0.01
Google Nest Mini 1,udp_flood,16000,28.95906667,0.01666666667
Google Nest Mini 1,udp_flood,16500,43.26803333,0.11
Google Nest Mini 1,udp_flood,17000,97.6354,0.9166666667
Google Nest Mini 1,udp_flood,17500,99.67256667,0.9966666667
Google Nest Mini 1,ack_flood,3000,3.227826087,0
Google Nest Mini 1,ack_flood,3500,3.390702341,0
Google Nest Mini 1,ack_flood,4000,3.581973244,0
Google Nest Mini 1,ack_flood,4500,3.577491639,0
Google Nest Mini 1,ack_flood,5000,3.771036789,0
Google Nest Mini 1,ack_flood,5500,4.113344482,0
Google Nest Mini 1,ack_flood,6000,4.934414716,0
Google Nest Mini 1,ack_flood,6500,4.65916388,0
Google Nest Mini 1,ack_flood,7000,5.008494983,0
Google Nest Mini 1,ack_flood,7500,5.263344482,0
Google Nest Mini 1,ack_flood,8000,5.737090301,0
Google Nest Mini 1,ack_flood,8500,6.072173913,0
Google Nest Mini 1,ack_flood,9000,9.381404682,0.01003344482
Google Nest Mini 1,ack_flood,9500,10.84103679,0
Google Nest Mini 1,ack_flood,10000,31.87876254,0
Google Nest Mini 1,ack_flood,10500,76.04324415,0.04682274247
Google Nest Mini 1,ack_flood,11000,84.78006689,0.1003344482
Google Nest Mini 1,ack_flood,11500,91.30695652,0.2909698997
Google Nest Mini 1,ack_flood,12000,94.92080268,0.7424749164
Google Nest Mini 1,ack_flood,12500,95.47337793,0.8260869565
Google Nest Mini 1,ack_flood,13000,96.09765886,0.872909699
Google Nest Mini 1,ack_flood,13500,98.11656667,0.9
Google Nest Mini 1,ack_flood,14000,97.72491639,0.9130434783
Google Nest Mini 1,ack_flood,14500,98.50513333,0.9466666667
Google Nest Mini 1,ack_flood,15000,98.03443333,0.9366666667
Google Nest Mini 1,ack_flood,15500,98.0578,0.9433333333
Google Nest Mini 1,ack_flood,16000,99.097,0.97
Google Nest Mini 1,ack_flood,16500,99.02688963,0.9698996656
Google Nest Mini 1,ack_flood,17000,99.17204013,0.9698996656
Google Nest Mini 1,ack_flood,17500,99.61698997,0.9933110368
Google Nest Mini 1,syn_flood,3000,2.973233333,0
Google Nest Mini 1,syn_flood,3500,3.306833333,0
Google Nest Mini 1,syn_flood,4000,3.171866667,0
Google Nest Mini 1,syn_flood,4500,3.505,0
Google Nest Mini 1,syn_flood,5000,4.235666667,0
Google Nest Mini 1,syn_flood,5500,4.0033,0
Google Nest Mini 1,syn_flood,6000,4.362133333,0
Google Nest Mini 1,syn_flood,6500,4.8298,0
Google Nest Mini 1,syn_flood,7000,5.155066667,0
Google Nest Mini 1,syn_flood,7500,5.598766667,0
Google Nest Mini 1,syn_flood,8000,6.945266667,0
Google Nest Mini 1,syn_flood,8500,6.2496,0
Google Nest Mini 1,syn_flood,9000,9.598533333,0
Google Nest Mini 1,syn_flood,9500,11.5616,0.003333333333
Google Nest Mini 1,syn_flood,10000,99.38866667,0.9866666667
