device,average rtt,loss
Smartphone 1,3.1691638795986625,0.0
Smart Clock 1,2.7518060200668897,0.0
Google Nest Mini 1,2.8356187290969905,0.0033444816053511705
Smart TV,3.0876923076923077,0.0033444816053511705
